Modelo,RMSE,MAE,R2,MAPE (%),Tiempo entrenamiento (s),Tiempo inferencia (s)
Random Forest,690.56,439.0709,0.8811,148.0535,0.1167,0.0326
Ridge,820.0667,600.4685,0.8323,151.0683,0.0038,0.0014
